Y Position (m), Gas Temperature (K)
6,3.24E+03
5.918681326,3.24E+03
5.837362652,3.24E+03
5.756043978,3.24E+03
5.674725304,3.24E+03
5.59340663,3.24E+03
5.512087956,3.24E+03
5.430769282,3.24E+03
5.349450608,3.24E+03
5.268131934,3.24E+03
5.18681326,3.24E+03
5.105494586,3.24E+03
5.024175911,3.24E+03
4.942857237,3.24E+03
4.861538563,3.24E+03
4.780219889,3.24E+03
4.698901215,3.24E+03
4.617582541,3.24E+03
4.536263867,3.24E+03
4.454945193,3.24E+03
4.373626519,3.24E+03
4.292307845,3.24E+03
4.210989171,3.24E+03
4.129670497,3.24E+03
4.048351823,3.24E+03
3.967033149,3.24E+03
3.885714475,3.24E+03
3.804395801,3.24E+03
3.723077127,3.24E+03
3.641758453,3.24E+03
3.560439779,3.24E+03
3.479121105,3.24E+03
3.397802431,3.24E+03
3.316483757,3.24E+03
3.235165083,3.24E+03
3.153846409,3.24E+03
3.072527734,3.24E+03
2.99120906,3.24E+03
2.909890386,3.24E+03
2.828571712,3.24E+03
2.747253038,3.24E+03
2.665934364,3.24E+03
2.58461569,3.24E+03
2.503297016,3.24E+03
2.421978342,3.24E+03
2.340659668,3.24E+03
2.259340994,3.24E+03
2.17802232,3.24E+03
2.096703646,3.24E+03
2.015384972,3.24E+03
1.934066298,3.24E+03
1.853197087,3.24E+03
1.772516846,3.24E+03
1.692357176,3.24E+03
1.612894958,3.24E+03
1.534341111,3.24E+03
1.456956538,3.24E+03
1.380910427,3.24E+03
1.306508876,3.24E+03
1.234118397,3.24E+03
1.163064382,3.24E+03
1.09251158,3.24E+03
1.022303544,3.24E+03
0.952359958,3.23E+03
0.882597489,3.23E+03
0.8129308,3.23E+03
0.743270412,3.23E+03
0.673516206,3.22E+03
0.603566998,3.21E+03
0.533324161,3.20E+03
0.462693042,3.19E+03
0.391219076,3.17E+03
0.316864489,3.15E+03
0.239919483,3.12E+03
0.1610585,3.09E+03
0.080901882,3.04E+03
0,2.99E+03
-0.078365383,2.92E+03
-0.155490568,2.84E+03
-0.229928284,2.74E+03
-0.301759498,2.64E+03
-0.373735428,2.56E+03
-0.446036306,2.48E+03
-0.518652452,2.41E+03
-0.591567386,2.35E+03
-0.664765211,2.30E+03
-0.738230987,2.24E+03
-0.81195067,2.20E+03
-0.885911042,2.15E+03
-0.96009966,2.11E+03
-1.034504807,2.07E+03
-1.109115444,2.04E+03
-1.183921166,2.00E+03
-1.258912163,1.97E+03
-1.334079183,1.94E+03
-1.409413502,1.92E+03
-1.484906824,1.89E+03
-1.560550739,1.87E+03
-1.636339976,1.85E+03
