X Position (in), HTC (W/m^2-K), Gas Temperature (K)
-4.88E+00,2768.965265,3.24E+03
-4.80E+00,2768.965265,3.24E+03
-4.72E+00,2768.965265,3.24E+03
-4.65E+00,2768.965265,3.24E+03
-4.57E+00,2768.965265,3.24E+03
-4.50E+00,2768.965265,3.24E+03
-4.42E+00,2768.965265,3.24E+03
-4.34E+00,2768.965265,3.24E+03
-4.27E+00,2768.965265,3.24E+03
-4.19E+00,2768.965265,3.24E+03
-4.12E+00,2768.965265,3.24E+03
-4.04E+00,2768.965265,3.24E+03
-3.97E+00,2768.965265,3.24E+03
-3.89E+00,2768.965265,3.24E+03
-3.81E+00,2768.965265,3.24E+03
-3.74E+00,2768.965265,3.24E+03
-3.66E+00,2768.965265,3.24E+03
-3.59E+00,2768.965265,3.24E+03
-3.51E+00,2768.965265,3.24E+03
-3.43E+00,2768.965265,3.24E+03
-3.36E+00,2768.965265,3.24E+03
-3.28E+00,2768.965265,3.24E+03
-3.21E+00,2768.965265,3.24E+03
-3.13E+00,2768.965265,3.24E+03
-3.05E+00,2768.965265,3.24E+03
-2.98E+00,2768.965265,3.24E+03
-2.90E+00,2768.965265,3.24E+03
-2.83E+00,2768.965265,3.24E+03
-2.75E+00,2768.965265,3.24E+03
-2.68E+00,2768.965265,3.24E+03
-2.60E+00,2768.965265,3.24E+03
-2.52E+00,2768.965265,3.24E+03
-2.45E+00,2768.965265,3.24E+03
-2.37E+00,2768.965265,3.24E+03
-2.30E+00,2768.965265,3.24E+03
-2.22E+00,2768.965265,3.24E+03
-2.14E+00,2768.965265,3.24E+03
-2.07E+00,2768.965265,3.24E+03
-1.99E+00,2768.965265,3.24E+03
-1.92E+00,2768.965265,3.24E+03
-1.84E+00,2768.965265,3.24E+03
-1.77E+00,2768.965265,3.24E+03
-1.69E+00,2768.965265,3.24E+03
-1.61E+00,2768.965265,3.24E+03
-1.54E+00,2768.965265,3.24E+03
-1.46E+00,2768.965265,3.24E+03
-1.39E+00,2768.965265,3.24E+03
-1.31E+00,2768.965265,3.24E+03
-1.23E+00,2768.965265,3.24E+03
-1.16E+00,2768.965265,3.24E+03
-1.08E+00,2768.965265,3.24E+03
-1.01E+00,2768.965265,3.24E+03
-9.31E-01,2768.965265,3.24E+03
-8.55E-01,2768.965265,3.24E+03
-7.83E-01,2828.952931,3.24E+03
-7.28E-01,3012.533269,3.24E+03
-6.76E-01,3233.64938,3.24E+03
-6.21E-01,3467.717234,3.24E+03
-5.68E-01,3739.394652,3.24E+03
-5.14E-01,4047.437114,3.24E+03
-4.60E-01,4400.421407,3.24E+03
-4.06E-01,4808.720923,3.23E+03
-3.51E-01,5283.204154,3.23E+03
-2.97E-01,5840.192153,3.22E+03
-2.44E-01,6503.82087,3.22E+03
-1.89E-01,7271.230572,3.21E+03
-1.37E-01,8252.793216,3.19E+03
-8.25E-02,9323.205112,3.16E+03
-8.45E-03,9461.551093,3.09E+03
6.39E-02,9315.260151,3.02E+03
1.34E-01,7696.475545,2.95E+03
2.05E-01,6754.282608,2.83E+03
2.75E-01,6002.059751,2.75E+03
3.46E-01,5375.19883,2.69E+03
4.16E-01,4840.461421,2.63E+03
4.87E-01,4378.495783,2.58E+03
5.57E-01,3975.817645,2.53E+03
6.28E-01,3622.647842,2.48E+03
6.98E-01,3311.086959,2.44E+03
7.69E-01,3035.089988,2.40E+03
8.39E-01,2789.66872,2.36E+03
9.10E-01,2570.700529,2.32E+03
9.80E-01,2374.735278,2.28E+03
1.05E+00,2198.863407,2.25E+03
1.12E+00,2040.57039,2.21E+03
1.19E+00,1897.82195,2.18E+03
1.26E+00,1768.73271,2.15E+03
1.33E+00,1651.728598,2.12E+03
1.40E+00,1545.44259,2.09E+03
1.47E+00,1448.685597,2.06E+03
1.54E+00,1360.418485,2.03E+03
1.61E+00,1279.731034,2.01E+03
1.68E+00,1205.82529,1.98E+03
1.76E+00,1137.998762,1.96E+03
1.83E+00,1075.632614,1.93E+03
1.90E+00,1018.180027,1.91E+03
1.97E+00,965.1573296,1.89E+03
2.04E+00,916.1358856,1.87E+03
2.11E+00,870.7348742,1.85E+03
